locus_tag	scf_id	seq_type	start	end	strand	product
F6GI3_00001	NODE_1_length_113778_cov_69.521390	CDS	37	1275	-	hypothetical protein
F6GI3_00002	NODE_1_length_113778_cov_69.521390	CDS	1333	2421	-	Putative carboxypeptidase YodJ
F6GI3_00003	NODE_1_length_113778_cov_69.521390	CDS	2499	3323	-	Iron-sulfur cluster carrier protein
F6GI3_00004	NODE_1_length_113778_cov_69.521390	CDS	3334	4515	-	Phosphopentomutase
F6GI3_00005	NODE_1_length_113778_cov_69.521390	CDS	4517	5395	-	Tyrosine recombinase XerD
F6GI3_00006	NODE_1_length_113778_cov_69.521390	CDS	5385	6560	-	DNA polymerase IV
F6GI3_00007	NODE_1_length_113778_cov_69.521390	CDS	6568	8205	-	DNA repair protein RecN
F6GI3_00008	NODE_1_length_113778_cov_69.521390	CDS	8226	8993	-	Hemolysin A
F6GI3_00009	NODE_1_length_113778_cov_69.521390	CDS	8983	10845	-	1-deoxy-D-xylulose-5-phosphate synthase
F6GI3_00010	NODE_1_length_113778_cov_69.521390	CDS	10858	11694	-	Farnesyl diphosphate synthase
F6GI3_00011	NODE_1_length_113778_cov_69.521390	CDS	11684	11890	-	Exodeoxyribonuclease 7 small subunit
F6GI3_00012	NODE_1_length_113778_cov_69.521390	CDS	11892	13220	-	Exodeoxyribonuclease 7 large subunit
F6GI3_00013	NODE_1_length_113778_cov_69.521390	CDS	13222	13602	-	Transcription antitermination protein NusB
F6GI3_00014	NODE_1_length_113778_cov_69.521390	CDS	13683	14012	-	hypothetical protein
F6GI3_00015	NODE_1_length_113778_cov_69.521390	CDS	14076	15443	-	hypothetical protein
F6GI3_00016	NODE_1_length_113778_cov_69.521390	CDS	15446	16372	-	Riboflavin biosynthesis protein RibF
F6GI3_00017	NODE_1_length_113778_cov_69.521390	CDS	16372	17196	-	tRNA pseudouridine synthase B
F6GI3_00018	NODE_1_length_113778_cov_69.521390	CDS	17301	18647	-	Multidrug export protein MepA
F6GI3_00019	NODE_1_length_113778_cov_69.521390	CDS	18887	20632	-	Aspartate--tRNA ligase
