scf_id	seq_type	start	end	strand	locus_tag	product
NODE_1_length_113778_cov_69.521390	CDS	37	1275	-	F6GI3_00001	hypothetical protein
NODE_1_length_113778_cov_69.521390	CDS	1333	2421	-	F6GI3_00002	Putative carboxypeptidase YodJ
NODE_1_length_113778_cov_69.521390	CDS	2499	3323	-	F6GI3_00003	Iron-sulfur cluster carrier protein
NODE_1_length_113778_cov_69.521390	CDS	3334	4515	-	F6GI3_00004	Phosphopentomutase
NODE_1_length_113778_cov_69.521390	CDS	4517	5395	-	F6GI3_00005	Tyrosine recombinase XerD
NODE_1_length_113778_cov_69.521390	CDS	5385	6560	-	F6GI3_00006	DNA polymerase IV
NODE_1_length_113778_cov_69.521390	CDS	6568	8205	-	F6GI3_00007	DNA repair protein RecN
NODE_1_length_113778_cov_69.521390	CDS	8226	8993	-	F6GI3_00008	Hemolysin A
NODE_1_length_113778_cov_69.521390	CDS	8983	10845	-	F6GI3_00009	1-deoxy-D-xylulose-5-phosphate synthase
NODE_1_length_113778_cov_69.521390	CDS	10858	11694	-	F6GI3_00010	Farnesyl diphosphate synthase
NODE_1_length_113778_cov_69.521390	CDS	11684	11890	-	F6GI3_00011	Exodeoxyribonuclease 7 small subunit
NODE_1_length_113778_cov_69.521390	CDS	11892	13220	-	F6GI3_00012	Exodeoxyribonuclease 7 large subunit
NODE_1_length_113778_cov_69.521390	CDS	13222	13602	-	F6GI3_00013	Transcription antitermination protein NusB
NODE_1_length_113778_cov_69.521390	CDS	13683	14012	-	F6GI3_00014	hypothetical protein
NODE_1_length_113778_cov_69.521390	CDS	14076	15443	-	F6GI3_00015	hypothetical protein
NODE_1_length_113778_cov_69.521390	CDS	15446	16372	-	F6GI3_00016	Riboflavin biosynthesis protein RibF
NODE_1_length_113778_cov_69.521390	CDS	16372	17196	-	F6GI3_00017	tRNA pseudouridine synthase B
NODE_1_length_113778_cov_69.521390	CDS	17301	18647	-	F6GI3_00018	Multidrug export protein MepA
NODE_1_length_113778_cov_69.521390	CDS	18887	20632	-	F6GI3_00019	Aspartate--tRNA ligase
NODE_1_length_113778_cov_69.521390	CDS	20644	22023	-	F6GI3_00020	Histidine--tRNA ligase
NODE_1_length_113778_cov_69.521390	CDS	22328	24535	-	F6GI3_00021	GTP pyrophosphokinase
NODE_1_length_113778_cov_69.521390	CDS	24604	25116	-	F6GI3_00022	Adenine phosphoribosyltransferase
NODE_1_length_113778_cov_69.521390	CDS	25184	26728	-	F6GI3_00023	Single-stranded-DNA-specific exonuclease RecJ
NODE_1_length_113778_cov_69.521390	CDS	26718	27914	-	F6GI3_00024	hypothetical protein
NODE_1_length_113778_cov_69.521390	CDS	27983	30256	-	F6GI3_00025	Protein translocase subunit SecDF
NODE_1_length_113778_cov_69.521390	CDS	30258	30539	-	F6GI3_00026	hypothetical protein
NODE_1_length_113778_cov_69.521390	CDS	30616	31599	-	F6GI3_00027	Holliday junction ATP-dependent DNA helicase RuvB
NODE_1_length_113778_cov_69.521390	CDS	31603	32178	-	F6GI3_00028	Holliday junction ATP-dependent DNA helicase RuvA
NODE_1_length_113778_cov_69.521390	CDS	32178	32837	-	F6GI3_00029	Hexitol phosphatase B
NODE_1_length_113778_cov_69.521390	CDS	32837	33589	-	F6GI3_00030	Exodeoxyribonuclease
NODE_1_length_113778_cov_69.521390	CDS	33680	34966	-	F6GI3_00031	GTPase Obg
NODE_1_length_113778_cov_69.521390	CDS	35095	35379	-	F6GI3_00032	50S ribosomal protein L27
NODE_1_length_113778_cov_69.521390	CDS	35382	35696	-	F6GI3_00033	hypothetical protein
NODE_1_length_113778_cov_69.521390	CDS	35698	36009	-	F6GI3_00034	50S ribosomal protein L21
NODE_1_length_113778_cov_69.521390	CDS	36150	39212	-	F6GI3_00035	DNA polymerase III subunit alpha
NODE_1_length_113778_cov_69.521390	CDS	39272	40951	-	F6GI3_00036	hypothetical protein
NODE_1_length_113778_cov_69.521390	CDS	40967	41896	-	F6GI3_00037	putative bifunctional oligoribonuclease and PAP phosphatase NrnA
NODE_1_length_113778_cov_69.521390	CDS	41898	43091	-	F6GI3_00038	Acetate kinase
NODE_1_length_113778_cov_69.521390	CDS	43103	43423	-	F6GI3_00039	hypothetical protein
NODE_1_length_113778_cov_69.521390	CDS	43410	44393	-	F6GI3_00040	Signal recognition particle receptor FtsY
NODE_1_length_113778_cov_69.521390	CDS	44411	47323	-	F6GI3_00041	Chromosome partition protein Smc
